accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0.7075574994087219,0.7039703130722046,0.5922537446022034,0.698846161365509,0.8644148707389832,0.7164750695228577,0.7485741376876831,0.5757033228874207,0.7063062787055969,0.8691796064376831
0.7204271554946899,0.7753400802612305,0.5530411601066589,0.7031190991401672,0.8901046514511108,0.7164750695228577,0.7621316313743591,0.5626407265663147,0.70705246925354,0.8669623136520386
0.7248083353042603,0.8012157678604126,0.5340352058410645,0.702323853969574,0.9058039784431458,0.7318007946014404,0.7801973223686218,0.5481358766555786,0.7059829235076904,0.915742814540863
0.7417853474617004,0.8450478315353394,0.4970616102218628,0.7158286571502686,0.9143672585487366,0.7394636273384094,0.8042869567871094,0.5311682224273682,0.7118353247642517,0.9201774001121521
0.7850492596626282,0.884459376335144,0.4485602378845215,0.7626645565032959,0.9096099138259888,0.7394636273384094,0.8112327456474304,0.5180836319923401,0.7435897588729858,0.8359201550483704
0.8335158824920654,0.9119038581848145,0.395620197057724,0.82421875,0.9034253358840942,0.7394636273384094,0.8178311586380005,0.5317779183387756,0.7266054749488831,0.8780487775802612
0.8726724982261658,0.9366298913955688,0.3403116762638092,0.8780600428581238,0.9043768048286438,0.7445721626281738,0.8197212219238281,0.5457454323768616,0.7319778203964233,0.8780487775802612
0.9055312275886536,0.957756757736206,0.27996334433555603,0.913023054599762,0.923882007598877,0.7356321811676025,0.8158276677131653,0.559913694858551,0.7595744729042053,0.7915742993354797
0.9326396584510803,0.970970094203949,0.22671854496002197,0.942326009273529,0.9405328035354614,0.7445721626281738,0.8177945017814636,0.5845412015914917,0.7515029907226562,0.8314855694770813
0.952081024646759,0.9817091226577759,0.17719870805740356,0.9625540375709534,0.9538534879684448,0.7318007946014404,0.8135735392570496,0.6324018836021423,0.7903614640235901,0.7272727489471436
