listing_id,high_revenue_efficiency,log_price,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,instant_bookable,host_years,latitude,longitude,amenities_count,has_wifi,has_kitchen,has_washer,has_air_conditioning,has_parking,has_workspace,name_len,description_len,neighborhood_overview_len,host_about_len,has_description,has_neighborhood_overview,has_host_about,host_response_time,neighbourhood_cleansed,property_type_grouped,room_type,avg_minimum_nights,median_minimum_nights,avg_maximum_nights,median_maximum_nights
972294499466080274,1,6.073044534100405,4,1.5,2.0,2.0,4,30,1.0,0.36,0.0,1.0,1.0,0,10.868493150684932,52.35702,4.92199,49,1,1,1,1,1,1,46,312,0,61,1,0,1,within a few hours,Oud-Oost,Entire home,Entire home/apt,4.0,4.0,30.0,30.0
972298274539969586,1,5.497168225293202,3,1.0,1.0,1.0,3,30,1.0,0.63,0.0,1.0,1.0,0,14.076712328767123,52.360064076046314,4.893694035708904,43,1,1,1,0,1,1,15,522,0,282,1,0,1,within a few hours,Centrum-Oost,Entire rental unit,Entire home/apt,3.043835616438356,3.0,30.0,30.0
973009601470260803,0,5.616771097666572,4,1.0,1.0,2.0,1,30,0.25,0.0,0.0,1.0,1.0,0,8.868493150684932,52.36214829999999,4.9343168,19,1,1,1,0,1,1,50,393,0,12,1,0,1,a few days or more,Oostelijk Havengebied - Indische Buurt,Entire rental unit,Entire home/apt,1.0,1.0,30.0,30.0
973043715297498431,1,6.398594934535208,4,1.0,2.0,2.0,2,20,0.25,0.15,0.0,1.0,1.0,0,3.241095890410959,52.365745,4.8793542,14,1,1,1,0,0,1,16,511,0,0,1,0,0,a few days or more,Centrum-West,Entire rental unit,Entire home/apt,2.0,2.0,20.0,20.0
973123813373567899,1,5.771441123130016,2,1.5,1.0,1.0,2,365,0.67,0.92,0.0,1.0,1.0,1,7.328767123287672,52.3790746,4.8869935,41,1,1,1,1,1,1,42,495,0,0,1,0,0,within a day,Centrum-West,Houseboat,Entire home/apt,2.9945205479452053,3.0,365.0,365.0
973255639689066871,0,5.181783550292085,2,1.0,2.0,2.0,4,21,0.2,0.09,0.0,1.0,1.0,0,9.98082191780822,52.36129932169648,4.926768571842981,48,1,1,1,1,1,1,49,387,770,0,1,1,0,a few days or more,Oud-Oost,Entire rental unit,Entire home/apt,4.0,4.0,21.0,21.0
973542005947372555,1,5.147494476813453,2,1.0,1.0,1.0,3,365,1.0,0.83,0.0,1.0,1.0,0,9.531506849315068,52.348678815926704,4.846502105658077,29,1,1,1,0,1,0,50,121,0,0,1,0,0,unknown,Zuid,Entire rental unit,Entire home/apt,3.0931506849315067,3.0,365.0,365.0
973730340422038697,0,5.5254529391317835,2,1.0,1.0,1.0,7,365,0.6,0.31,0.0,1.0,1.0,0,7.043835616438356,52.3630977747169,4.857405921584067,35,1,1,1,0,0,1,29,424,176,0,1,1,0,within a day,De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,7.0,7.0,365.0,365.0
973770922080136551,1,5.420534999272286,4,1.5,3.0,4.0,2,11,1.0,0.62,0.0,1.0,1.0,0,11.389041095890411,52.37933525128496,4.848178960382938,78,1,1,1,0,1,1,49,494,0,85,1,0,1,within a few hours,Bos en Lommer,Entire home,Entire home/apt,2.0356164383561643,2.0,11.0,11.0
973925863977395399,1,6.478509642208569,4,3.0,3.0,2.0,5,30,0.8,0.86,0.0,1.0,1.0,0,9.841095890410958,52.37628361399286,4.8998783909844095,15,1,1,1,1,0,1,30,456,0,0,1,0,0,within a day,Centrum-West,Entire rental unit,Entire home/apt,4.936986301369863,5.0,30.0,30.0
974226623195064989,0,5.53338948872752,4,1.5,1.0,2.0,7,240,1.0,0.0,0.0,1.0,0.0,0,2.210958904109589,52.38238687392589,4.850943982601166,34,1,1,1,0,1,0,28,488,0,0,1,0,0,within a day,Bos en Lommer,Entire rental unit,Entire home/apt,7.0,7.0,240.0,240.0
