model,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
embedding_avg,0.7445721583652618,0.7319778188539742,0.8780487804878049,0.7983870967741935,0.8196310741858789,0.7650063856960408,0.7431693989071039,0.9046563192904656,0.816,0.8467528651190127
text_cnn,0.735632183908046,0.7364341085271318,0.8425720620842572,0.7859358841778697,0.8054991584965137,0.7381864623243933,0.7489878542510121,0.8203991130820399,0.783068783068783,0.8156506291240351
text_gru,0.5938697318007663,0.7567567567567568,0.43458980044345896,0.5521126760563381,0.7178024737531055,0.5849297573435505,0.7647058823529411,0.4035476718403548,0.5283018867924528,0.7431277215291321
